hssID,eventTime,instruments,submissionTime,versionId,link,linkedEvents
2021-04-17T00:06:00-HSS-001,2021-04-17T00:06Z,[{'displayName': 'DSCOVR: PLASMAG'}],2021-04-19T21:15Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16752/-1,"[{'activityID': '2021-04-16T14:43:00-IPS-001'}, {'activityID': '2021-04-17T16:35:00-RBE-001'}]"
2021-04-23T20:55:00-HSS-001,2021-04-23T20:55Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-04-24T19:21Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16782/-1,[{'activityID': '2021-04-28T18:20:00-RBE-001'}]
2021-04-30T06:34:00-HSS-001,2021-04-30T06:34Z,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]",2021-04-30T15:09Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16817/-1,[{'activityID': '2021-04-30T01:48:00-IPS-001'}]
2021-05-03T07:04:00-HSS-001,2021-05-03T07:04Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-05-05T17:02Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16842/-1,
2021-05-04T22:00:00-HSS-001,2021-05-04T22:00Z,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]",2021-05-06T16:52Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16848/-1,
2021-05-20T11:24:00-HSS-001,2021-05-20T11:24Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-05-20T18:01Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16923/-1,"[{'activityID': '2021-05-20T08:45:00-IPS-001'}, {'activityID': '2021-05-22T16:35:00-RBE-001'}]"
2021-06-07T16:10:00-HSS-001,2021-06-07T16:10Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}]",2021-06-07T19:34Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17057/-1,[{'activityID': '2021-06-07T06:16:00-IPS-001'}]
2021-06-15T12:03:00-HSS-001,2021-06-15T12:03Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-06-16T12:27Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17081/-1,"[{'activityID': '2021-06-15T12:06:00-IPS-001'}, {'activityID': '2021-06-17T07:50:00-RBE-001'}]"
2021-06-30T10:50:00-HSS-001,2021-06-30T10:50Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-07-01T18:41Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17177/-1,"[{'activityID': '2021-06-30T02:42:00-IPS-001'}, {'activityID': '2021-07-01T02:30:00-IPS-001'}]"
2021-07-10T07:35:00-HSS-001,2021-07-10T07:35Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-07-10T14:32Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17259/-1,[{'activityID': '2021-07-10T00:31:00-IPS-001'}]
2021-07-15T04:52:00-HSS-001,2021-07-15T04:52Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-07-15T13:23Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17303/-1,
2021-07-19T09:07:00-HSS-001,2021-07-19T09:07Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-07-20T20:13Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17342/-1,
2021-07-28T04:44:00-HSS-001,2021-07-28T04:44Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-07-28T12:36Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/17407/-1,[{'activityID': '2021-07-27T16:57:00-IPS-001'}]
